,location,recording_date_time,species_code,Year_since_logging,mean_amp,SM2
13230,H23-CC-155,2023-06-23 05:49:00,WTSP,7,-56.245000000000005,0
13231,H23-CC-155,2023-06-23 05:49:00,TEWA,7,-44.985,0
13232,H23-CC-155,2023-06-23 05:49:00,TEWA,7,-50.92,0
13233,H23-CC-155,2023-06-23 05:49:00,WTSP,7,-42.89,0
13234,H23-CC-155,2023-06-23 05:49:00,WTSP,7,-60.49,0
13235,H23-CC-155,2023-06-23 05:49:00,WTSP,7,-51.24,0
13236,H23-CC-155,2023-06-23 06:19:00,WTSP,7,-53.75,0
13237,H23-CC-155,2023-06-23 06:19:00,WTSP,7,-57.815,0
13238,H23-CC-155,2023-06-23 06:19:00,OSFL,7,-37.73,0
13239,H23-CC-155,2023-06-23 06:19:00,TEWA,7,-44.235,0
13240,H23-CC-155,2023-06-23 06:19:00,TEWA,7,-50.635000000000005,0
13241,H23-CC-155,2023-06-23 06:19:00,WTSP,7,-54.22,0
13242,H23-CC-155,2023-06-23 06:19:00,TEWA,7,-51.925,0
13243,H23-CC-155,2023-06-23 06:49:00,OSFL,7,-43.095,0
13244,H23-CC-155,2023-06-23 06:49:00,WTSP,7,-41.23,0
13245,H23-CC-155,2023-06-23 06:49:00,TEWA,7,-46.125,0
13246,H23-CC-155,2023-06-23 06:49:00,WTSP,7,-57.3,0
13247,H23-CC-155,2023-06-23 08:49:00,WTSP,7,-49.64,0
13248,H23-CC-155,2023-06-23 08:49:00,TEWA,7,-43.245000000000005,0
13249,H23-CC-155,2023-06-23 08:49:00,TEWA,7,-39.14,0
13250,H23-CC-155,2023-06-23 08:49:00,WTSP,7,-51.620000000000005,0
13251,H23-CC-155,2023-06-23 09:19:00,TEWA,7,-43.045,0
13252,H23-CC-155,2023-06-24 06:34:00,WTSP,7,-48.58,0
13253,H23-CC-155,2023-06-24 06:34:00,WTSP,7,-50.52,0
13254,H23-CC-155,2023-06-24 06:34:00,WTSP,7,-44.120000000000005,0
13255,H23-CC-155,2023-06-24 06:34:00,TEWA,7,-38.255,0
13256,H23-CC-155,2023-06-24 06:34:00,TEWA,7,-36.375,0
13257,H23-CC-155,2023-06-24 06:34:00,TEWA,7,-42.07,0
13258,H23-CC-155,2023-06-24 06:49:00,TEWA,7,-46.475,0
13259,H23-CC-155,2023-06-24 06:49:00,TEWA,7,-44.32,0
13260,H23-CC-155,2023-06-24 06:49:00,TEWA,7,-38.49,0
13261,H23-CC-155,2023-06-24 06:49:00,WTSP,7,-54.465,0
13262,H23-CC-155,2023-06-24 07:04:00,TEWA,7,-36.265,0
13263,H23-CC-155,2023-06-24 07:04:00,WTSP,7,-53.125,0
13264,H23-CC-155,2023-06-24 07:04:00,WTSP,7,-52.28,0
13265,H23-CC-155,2023-06-24 07:04:00,TEWA,7,-47.645,0
13266,H23-CC-155,2023-06-24 07:04:00,TEWA,7,-50.01,0
13267,H23-CC-155,2023-06-24 07:34:00,WTSP,7,-55.3,0
13268,H23-CC-155,2023-06-24 07:34:00,TEWA,7,-52.485,0
13269,H23-CC-155,2023-06-24 07:34:00,TEWA,7,-40.68,0
13270,H23-CC-155,2023-06-24 07:34:00,WTSP,7,-51.515,0
13271,H23-CC-155,2023-06-24 07:34:00,WTSP,7,-53.73,0
13272,H23-CC-155,2023-06-24 08:19:00,TEWA,7,-43.49,0
13273,H23-CC-155,2023-06-24 08:19:00,TEWA,7,-54.63,0
13274,H23-CC-155,2023-06-24 08:19:00,TEWA,7,-34.105,0
13275,H23-CC-155,2023-06-24 08:19:00,WTSP,7,-46.75,0
13276,H23-CC-155,2023-06-24 08:34:00,OSFL,7,-44.85,0
13277,H23-CC-155,2023-06-24 08:34:00,WTSP,7,-40.2,0
13278,H23-CC-155,2023-06-24 08:34:00,WTSP,7,-54.715,0
13279,H23-CC-155,2023-06-24 08:34:00,WTSP,7,-44.99,0
13280,H23-CC-155,2023-06-24 08:34:00,TEWA,7,-37.3,0
13281,H23-CC-155,2023-06-24 08:34:00,TEWA,7,-41.465,0
13282,H23-CC-155,2023-06-24 08:34:00,TEWA,7,-49.965,0
13283,H23-CC-155,2023-06-25 06:49:00,TEWA,7,-49.0,0
13284,H23-CC-155,2023-06-25 06:49:00,TEWA,7,-45.56,0
13285,H23-CC-155,2023-06-25 06:49:00,WTSP,7,-54.620000000000005,0
13286,H23-CC-155,2023-06-25 06:49:00,WTSP,7,-57.3,0
13287,H23-CC-155,2023-06-25 06:49:00,WTSP,7,-41.355,0
13288,H23-CC-155,2023-06-25 06:49:00,WTSP,7,-38.2,0
13289,H23-CC-155,2023-06-25 08:04:00,TEWA,7,-35.815,0
13290,H23-CC-155,2023-06-25 08:04:00,WTSP,7,-57.5,0
13291,H23-CC-155,2023-06-25 08:04:00,WTSP,7,-45.23,0
13292,H23-CC-155,2023-06-25 08:04:00,WTSP,7,-41.255,0
13293,H23-CC-155,2023-06-26 06:20:00,WTSP,7,-45.05,0
13294,H23-CC-155,2023-06-26 06:20:00,TEWA,7,-41.275,0
13295,H23-CC-155,2023-06-26 06:20:00,WTSP,7,-40.87,0
13296,H23-CC-155,2023-06-26 08:05:00,TEWA,7,-52.73,0
13297,H23-CC-155,2023-06-26 08:05:00,WTSP,7,-47.52,0
13298,H23-CC-155,2023-06-26 08:05:00,WTSP,7,-44.435,0
13299,H23-CC-158,2023-06-08 05:04:00,WTSP,4,-54.15,0
13300,H23-CC-158,2023-06-08 05:04:00,WTSP,4,-56.855,0
13301,H23-CC-158,2023-06-08 05:04:00,WTSP,4,-54.325,0
13302,H23-CC-158,2023-06-08 05:04:00,WTSP,4,-56.065,0
13303,H23-CC-158,2023-06-08 05:04:00,WTSP,4,-45.575,0
13304,H23-CC-158,2023-06-08 05:04:00,WTSP,4,-47.805,0
13305,H23-CC-158,2023-06-08 05:04:00,OSFL,4,-47.68000000000001,0
13306,H23-CC-158,2023-06-08 05:04:00,WTSP,4,-57.92,0
13307,H23-CC-158,2023-06-08 05:49:00,WTSP,4,-50.4,0
13308,H23-CC-158,2023-06-08 05:49:00,WTSP,4,-51.89,0
13309,H23-CC-158,2023-06-08 05:49:00,WTSP,4,-57.5,0
13310,H23-CC-158,2023-06-08 05:49:00,WTSP,4,-49.61,0
13311,H23-CC-158,2023-06-08 05:49:00,WTSP,4,-54.51,0
13312,H23-CC-158,2023-06-08 06:49:00,WTSP,4,-55.715,0
13313,H23-CC-158,2023-06-08 06:49:00,WTSP,4,-53.315,0
13314,H23-CC-158,2023-06-08 06:49:00,OSFL,4,-48.42,0
13315,H23-CC-158,2023-06-08 06:49:00,WTSP,4,-46.68,0
13316,H23-CC-158,2023-06-08 06:49:00,WTSP,4,-47.65,0
13317,H23-CC-158,2023-06-09 05:19:00,OSFL,4,-38.48,0
13318,H23-CC-158,2023-06-09 05:19:00,WTSP,4,-48.35,0
13319,H23-CC-158,2023-06-09 05:19:00,WTSP,4,-42.965,0
13320,H23-CC-158,2023-06-09 05:19:00,TEWA,4,-33.995,0
13321,H23-CC-158,2023-06-09 05:19:00,WTSP,4,-45.455,0
13322,H23-CC-158,2023-06-09 05:19:00,WTSP,4,-45.76,0
13323,H23-CC-158,2023-06-09 05:19:00,WTSP,4,-34.3,0
13324,H23-CC-158,2023-06-09 05:19:00,WTSP,4,-42.355,0
13325,H23-CC-158,2023-06-09 06:19:00,WTSP,4,-26.905,0
13326,H23-CC-158,2023-06-09 06:19:00,WTSP,4,-35.629999999999995,0
13327,H23-CC-158,2023-06-09 06:19:00,WTSP,4,-28.03,0
13328,H23-CC-158,2023-06-09 06:19:00,WTSP,4,-35.91,0
13329,H23-CC-158,2023-06-09 06:34:00,WTSP,4,-42.235,0
13330,H23-CC-158,2023-06-09 06:34:00,WTSP,4,-44.06,0
13331,H23-CC-158,2023-06-09 06:34:00,WTSP,4,-36.66,0
13332,H23-CC-158,2023-06-09 06:34:00,WTSP,4,-43.69,0
13333,H23-CC-158,2023-06-09 06:34:00,WTSP,4,-39.345,0
13334,H23-CC-158,2023-06-11 07:18:00,WTSP,4,-44.36,0
13335,H23-CC-158,2023-06-11 07:18:00,WTSP,4,-55.235,0
13336,H23-CC-158,2023-06-11 07:18:00,WTSP,4,-51.485,0
13337,H23-CC-158,2023-06-11 07:18:00,WTSP,4,-55.93,0
13338,H23-CC-158,2023-06-11 07:18:00,WTSP,4,-50.455,0
13339,H23-CC-158,2023-06-11 07:18:00,WTSP,4,-52.29,0
13340,H23-CC-158,2023-06-11 07:18:00,WTSP,4,-52.135,0
13341,H23-CC-158,2023-06-12 06:18:00,WTSP,4,-52.565,0
13342,H23-CC-158,2023-06-12 06:18:00,TEWA,4,-49.19,0
13343,H23-CC-158,2023-06-12 06:18:00,WTSP,4,-54.870000000000005,0
13344,H23-CC-158,2023-06-12 06:18:00,OSFL,4,-48.235,0
