location,recording_date_time
H-RS-12-7,2021-06-15 6:40
H-RS-12-7,2021-06-15 7:00
H-RS-6-32,2021-06-15 7:00
H-CC-6-6,2021-06-15 7:20
H-RS-12-1,2021-06-15 7:20
H-RS-12-7,2021-06-15 7:20
H-CC-6-6,2021-06-15 7:40
H-RS-12-1,2021-06-15 8:00
H-RS-12-7,2021-06-15 8:00
H-RS-12-7,2021-06-15 8:20
H-RS-6-32,2021-06-15 8:20
H-RS-12-7,2021-06-15 8:40
H-RS-12-7,2021-06-15 9:00
H-RS-6-32,2021-06-15 9:00
H-RS-12-7,2021-06-16 5:20
H-RS-6-14,2021-06-16 5:20
H-RS-6-45,2021-06-16 5:20
H-RS-6-46,2021-06-16 5:20
H-RS-6-53,2021-06-16 5:20
H-RS-12-7,2021-06-16 5:40
H-CC-12-11,2021-06-16 6:00
H-RS-12-1,2021-06-16 6:00
H-RS-12-7,2021-06-16 6:00
H-RS-6-14,2021-06-16 6:00
H-RS-6-46,2021-06-16 6:00
H-RS-6-53,2021-06-16 6:00
H-CC-12-11,2021-06-16 6:20
H-RS-12-1,2021-06-16 6:20
H-RS-6-45,2021-06-16 6:20
H-RS-6-46,2021-06-16 6:20
H-RS-6-53,2021-06-16 6:20
H-RS-6-46,2021-06-16 6:40
H-RS-6-53,2021-06-16 6:40
H-CC-12-11,2021-06-16 7:00
H-CC-6-6,2021-06-16 7:00
H-RS-12-8,2021-06-16 7:00
H-RS-6-53,2021-06-16 7:00
H-RS-6-32,2021-06-16 7:20
H-RS-6-45,2021-06-16 7:20
H-RS-6-46,2021-06-16 7:20
H-RS-6-32,2021-06-16 7:40
H-RS-6-32,2021-06-16 8:00
H-RS-6-45,2021-06-16 8:00
H-RS-6-32,2021-06-16 8:20
H-RS-6-53,2021-06-16 8:20
H-CC-12-11,2021-06-16 8:40
H-CC-6-6,2021-06-16 8:40
H-RS-12-9,2021-06-16 8:40
H-RS-6-14,2021-06-16 8:40
H-RS-6-46,2021-06-16 8:40
H-RS-6-53,2021-06-16 8:40
H-CC-6-47,2021-06-16 9:00
H-RS-6-32,2021-06-16 9:00
H-RS-6-46,2021-06-16 9:00
H-RS-6-53,2021-06-16 9:00
H-CC-6-47,2021-06-16 9:20
H-CC-12-11,2021-06-17 5:20
H-CC-6-47,2021-06-17 5:20
H-RS-12-9,2021-06-17 5:20
H-CC-6-6,2021-06-17 5:40
H-RS-12-1,2021-06-17 5:40
H-RS-12-9,2021-06-17 5:40
H-RS-6-45,2021-06-17 5:40
H-RS-6-46,2021-06-17 5:40
H-CC-6-6,2021-06-17 6:00
H-RS-12-1,2021-06-17 6:00
H-RS-6-14,2021-06-17 6:00
H-RS-6-14,2021-06-17 6:20
H-RS-6-46,2021-06-17 6:20
H-RS-6-46,2021-06-17 6:40
H-RS-12-1,2021-06-17 7:00
H-RS-12-9,2021-06-17 7:00
H-RS-6-32,2021-06-17 7:00
H-RS-6-45,2021-06-17 7:00
H-RS-6-46,2021-06-17 7:00
H-CC-6-47,2021-06-17 7:20
H-RS-12-1,2021-06-17 7:20
H-RS-12-9,2021-06-17 7:20
H-RS-6-14,2021-06-17 7:20
H-RS-6-45,2021-06-17 7:20
H-CC-12-11,2021-06-17 7:40
H-CC-6-47,2021-06-17 8:00
H-RS-6-14,2021-06-17 8:00
H-RS-6-45,2021-06-17 8:00
H-CC-6-47,2021-06-17 8:20
H-CC-6-6,2021-06-17 8:40
H-RS-12-9,2021-06-17 8:40
H-RS-6-32,2021-06-17 8:40
H-RS-6-45,2021-06-17 8:40
H-CC-6-47,2021-06-17 9:00
H-CC-6-6,2021-06-17 9:00
